Id,Port Number,Service Name,Transport Protocol,Description
27770,21743,,,Unassigned
27771,21744,,,Unassigned
27772,21745,,,Unassigned
27773,21746,,,Unassigned
27774,21747,,,Unassigned
27775,21748,,,Unassigned
27776,21749,,,Unassigned
27777,21750,,,Unassigned
27778,21751,,,Unassigned
27779,21752,,,Unassigned
27780,21753,,,Unassigned
27781,21754,,,Unassigned
27782,21755,,,Unassigned
27783,21756,,,Unassigned
27784,21757,,,Unassigned
27785,21758,,,Unassigned
27786,21759,,,Unassigned
27787,21760,,,Unassigned
27788,21761,,,Unassigned
27789,21762,,,Unassigned
27790,21763,,,Unassigned
27791,21764,,,Unassigned
27792,21765,,,Unassigned
27793,21766,,,Unassigned
27794,21767,,,Unassigned
27795,21768,,,Unassigned
27796,21769,,,Unassigned
27797,21770,,,Unassigned
27798,21771,,,Unassigned
27799,21772,,,Unassigned
27800,21773,,,Unassigned
27801,21774,,,Unassigned
27802,21775,,,Unassigned
27803,21776,,,Unassigned
27804,21777,,,Unassigned
27805,21778,,,Unassigned
27806,21779,,,Unassigned
27807,21780,,,Unassigned
27808,21781,,,Unassigned
27809,21782,,,Unassigned
27810,21783,,,Unassigned
27811,21784,,,Unassigned
27812,21785,,,Unassigned
27813,21786,,,Unassigned
27814,21787,,,Unassigned
27815,21788,,,Unassigned
27816,21789,,,Unassigned
27817,21790,,,Unassigned
27818,21791,,,Unassigned
27819,21792,,,Unassigned
27820,21793,,,Unassigned
27821,21794,,,Unassigned
27822,21795,,,Unassigned
27823,21796,,,Unassigned
27824,21797,,,Unassigned
27825,21798,,,Unassigned
27826,21799,,,Unassigned
27827,21800,tvpm,tcp,TVNC Pro Multiplexing
27828,21800,tvpm,udp,TVNC Pro Multiplexing
27829,21801,,,Unassigned
27830,21802,,,Unassigned
27831,21803,,,Unassigned
27832,21804,,,Unassigned
27833,21805,,,Unassigned
27834,21806,,,Unassigned
27835,21807,,,Unassigned
27836,21808,,,Unassigned
27837,21809,,,Unassigned
27838,21810,,,Unassigned
27839,21811,,,Unassigned
27840,21812,,,Unassigned
27841,21813,,,Unassigned
27842,21814,,,Unassigned
27843,21815,,,Unassigned
27844,21816,,,Unassigned
27845,21817,,,Unassigned
27846,21818,,,Unassigned
27847,21819,,,Unassigned
27848,21820,,,Unassigned
27849,21821,,,Unassigned
27850,21822,,,Unassigned
27851,21823,,,Unassigned
27852,21824,,,Unassigned
27853,21825,,,Unassigned
27854,21826,,,Unassigned
27855,21827,,,Unassigned
27856,21828,,,Unassigned
27857,21829,,,Unassigned
27858,21830,,,Unassigned
27859,21831,,,Unassigned
27860,21832,,,Unassigned
27861,21833,,,Unassigned
27862,21834,,,Unassigned
27863,21835,,,Unassigned
27864,21836,,,Unassigned
27865,21837,,,Unassigned
27866,21838,,,Unassigned
27867,21839,,,Unassigned
27868,21840,,,Unassigned
27869,21841,,,Unassigned
27870,21842,,,Unassigned
27871,21843,,,Unassigned
27872,21844,,,Unassigned
27873,21845,webphone,tcp,webphone
27874,21845,webphone,udp,webphone
27875,21846,netspeak-is,tcp,NetSpeak Corp. Directory Services
27876,21846,netspeak-is,udp,NetSpeak Corp. Directory Services
27877,21847,netspeak-cs,tcp,NetSpeak Corp. Connection Services
27878,21847,netspeak-cs,udp,NetSpeak Corp. Connection Services
27879,21848,netspeak-acd,tcp,NetSpeak Corp. Automatic Call Distribution
27880,21848,netspeak-acd,udp,NetSpeak Corp. Automatic Call Distribution
27881,21849,netspeak-cps,tcp,NetSpeak Corp. Credit Processing System
27882,21849,netspeak-cps,udp,NetSpeak Corp. Credit Processing System
27883,21850,,,Unassigned
27884,21851,,,Unassigned
27885,21852,,,Unassigned
27886,21853,,,Unassigned
27887,21854,,,Unassigned
27888,21855,,,Unassigned
27889,21856,,,Unassigned
27890,21857,,,Unassigned
27891,21858,,,Unassigned
27892,21859,,,Unassigned
27893,21860,,,Unassigned
27894,21861,,,Unassigned
27895,21862,,,Unassigned
27896,21863,,,Unassigned
27897,21864,,,Unassigned
27898,21865,,,Unassigned
27899,21866,,,Unassigned
27900,21867,,,Unassigned
27901,21868,,,Unassigned
27902,21869,,,Unassigned
27903,21870,,,Unassigned
27904,21871,,,Unassigned
27905,21872,,,Unassigned
27906,21873,,,Unassigned
27907,21874,,,Unassigned
27908,21875,,,Unassigned
27909,21876,,,Unassigned
27910,21877,,,Unassigned
27911,21878,,,Unassigned
27912,21879,,,Unassigned
27913,21880,,,Unassigned
27914,21881,,,Unassigned
27915,21882,,,Unassigned
27916,21883,,,Unassigned
27917,21884,,,Unassigned
27918,21885,,,Unassigned
27919,21886,,,Unassigned
27920,21887,,,Unassigned
27921,21888,,,Unassigned
27922,21889,,,Unassigned
27923,21890,,,Unassigned
27924,21891,,,Unassigned
27925,21892,,,Unassigned
27926,21893,,,Unassigned
27927,21894,,,Unassigned
27928,21895,,,Unassigned
27929,21896,,,Unassigned
27930,21897,,,Unassigned
27931,21898,,,Unassigned
27932,21899,,,Unassigned
27933,21900,,,Unassigned
27934,21901,,,Unassigned
27935,21902,,,Unassigned
27936,21903,,,Unassigned
27937,21904,,,Unassigned
27938,21905,,,Unassigned
27939,21906,,,Unassigned
27940,21907,,,Unassigned
27941,21908,,,Unassigned
27942,21909,,,Unassigned
27943,21910,,,Unassigned
27944,21911,,,Unassigned
27945,21912,,,Unassigned
27946,21913,,,Unassigned
27947,21914,,,Unassigned
27948,21915,,,Unassigned
27949,21916,,,Unassigned
27950,21917,,,Unassigned
27951,21918,,,Unassigned
27952,21919,,,Unassigned
27953,21920,,,Unassigned
27954,21921,,,Unassigned
27955,21922,,,Unassigned
27956,21923,,,Unassigned
27957,21924,,,Unassigned
27958,21925,,,Unassigned
27959,21926,,,Unassigned
27960,21927,,,Unassigned
27961,21928,,,Unassigned
27962,21929,,,Unassigned
27963,21930,,,Unassigned
27964,21931,,,Unassigned
27965,21932,,,Unassigned
27966,21933,,,Unassigned
27967,21934,,,Unassigned
27968,21935,,,Unassigned
27969,21936,,,Unassigned
27970,21937,,,Unassigned
27971,21938,,,Unassigned
27972,21939,,,Unassigned
27973,21940,,,Unassigned
27974,21941,,,Unassigned
27975,21942,,,Unassigned
27976,21943,,,Unassigned
27977,21944,,,Unassigned
27978,21945,,,Unassigned
27979,21946,,,Unassigned
27980,21947,,,Unassigned
27981,21948,,,Unassigned
27982,21949,,,Unassigned
27983,21950,,,Unassigned
27984,21951,,,Unassigned
27985,21952,,,Unassigned
27986,21953,,,Unassigned
27987,21954,,,Unassigned
27988,21955,,,Unassigned
27989,21956,,,Unassigned
27990,21957,,,Unassigned
27991,21958,,,Unassigned
27992,21959,,,Unassigned
27993,21960,,,Unassigned
27994,21961,,,Unassigned
27995,21962,,,Unassigned
27996,21963,,,Unassigned
27997,21964,,,Unassigned
27998,21965,,,Unassigned
27999,21966,,,Unassigned
28000,21967,,,Unassigned
28001,21968,,,Unassigned
28002,21969,,,Unassigned
28003,21970,,,Unassigned
28004,21971,,,Unassigned
28005,21972,,,Unassigned
28006,21973,,,Unassigned
28007,21974,,,Unassigned
28008,21975,,,Unassigned
28009,21976,,,Unassigned
28010,21977,,,Unassigned
28011,21978,,,Unassigned
28012,21979,,,Unassigned
28013,21980,,,Unassigned
28014,21981,,,Unassigned
28015,21982,,,Unassigned
28016,21983,,,Unassigned
28017,21984,,,Unassigned
28018,21985,,,Unassigned
28019,21986,,,Unassigned
28020,21987,,,Unassigned
28021,21988,,,Unassigned
28022,21989,,,Unassigned
28023,21990,,,Unassigned
28024,21991,,,Unassigned
28025,21992,,,Unassigned
28026,21993,,,Unassigned
28027,21994,,,Unassigned
