Id,Manufacturer Code,Decimal First Serial Number,Decimal Last Serial Number,Manufacturer
194,073,00000000,16777215,Nokia Mobile Phones
195,074,00000000,16777215,Nokia Mobile Phones
196,075,00000000,16777215,Nanjing Postel Wong Zhi Telecommunications
197,076,00000000,16777215,Research In Motion
198,077,00000000,16777215,F & B InfoComm
199,078,00000000,16777215,Nokia Mobile Phones
200,079,00000000,16777215,Qingdao Hisense Communications
201,080,00000000,16777215,UTStarcom (formerly GIGA TELECOM)
202,081,00000000,16777215,Samsung Telecommunications America
203,082,00000000,16777215,Motorola
204,083,00000000,16777215,Nokia
205,084,00000000,16777215,Westech Korea
206,085,00000000,16777215,Modottel
207,086,00000000,16777215,SEMAX WIRELESS
208,087,00000000,16777215,Cyberlane
209,088,00000000,16777215,Cell Data
210,089,00000000,16777215,Intercube
211,090,00000000,16777215,Telian
212,091,00000000,16777215,Novatel Wireless
213,092,00000000,16777215,Bellwave
214,093,00000000,16777215,Toshiba America Information Systems
215,094,00000000,16777215,Nokia
216,095,00000000,16777215,AXESSTEL
217,096,00000000,16777215,Sierra Wireless (formerly Air Prime)
218,097,00000000,16777215,Pantech & Curitel Communications
219,098,00000000,16777215,E-RON Technologies
220,099,00000000,16777215,Sierra Wireless
221,100,00000000,16777215,Nokia Mobile Phones
222,101,00000000,16777215,Samsung Electronics
223,102,00000000,16777215,Ericsson
224,103,00000000,16777215,VACOM Wireless
225,104,00000000,16777215,Motorola Cellular Subscriber
226,105,00000000,16777215,ZTE
227,106,00000000,16777215,Nokia Mobile Phones
228,107,00000000,16777215,GTRAN
229,108,00000000,16777215,AnyDATA.NET
230,109,00000000,16777215,Yiso Telecom
231,110,00000000,16777215,Nokia
232,111,00000000,16777215,Teliran
233,112,00000000,16777215,Wide Telecom
234,113,00000000,16777215,BenQ
235,114,00000000,16777215,Nokia Mobile Phones
236,115,00000000,16777215,Ericsson
237,116,00000000,16777215,Qualcomm
238,117,00000000,16777215,LG Information & Communications
239,118,00000000,16777215,Telson Information & Communication
240,119,00000000,16777215,Motorola
241,120,00000000,16777215,Sewon Telecom Ltd
242,121,00000000,16777215,Alarm Device Manufacturing Company
243,122,00000000,16777215,Nokia Mobile Phones
244,123,00000000,16777215,Chapman Technologies
245,124,00000000,16777215,NEC America
246,125,00000000,16777215,Standard Telecom
247,126,00000000,16777215,Microelectronics Technology
248,127,00000000,16777215,Terion
249,128,00000000,16777215,Reserved for pESNs
250,129,00000000,16777215,Oki
251,130,00000000,16777215,Motorola
252,131,00000000,16777215,E. F. Johnson
253,132,00000000,16777215,Hitachi
254,133,00000000,16777215,Fujitsu
255,134,00000000,16777215,Mitsubishi
256,135,00000000,16777215,NEC
257,136,00000000,16777215,Matsushita (Panasonic)
258,137,00000000,16777215,Harris
259,138,00000000,16777215,Toshiba
260,139,00000000,16777215,Kokusai
261,140,00000000,16777215,Clarion Company
262,141,00000000,16777215,Goldstar Products
263,142,00000000,16777215,International Systcom (Novatel)
264,143,00000000,16777215,Ericsson
265,144,00000000,16777215,Murata Machinery
266,145,00000000,16777215,DI-BAR Electronics
267,146,00000000,16777215,Ericsson
268,147,00000000,16777215,Gateway Telephone
269,148,00000000,16777215,Robert Bosch (Blaupunkt)
270,149,00000000,16777215,Universal Cellular
271,150,00000000,16777215,Alpine Electronics of America
272,151,00000000,16777215,Verma Laboratories
273,152,00000000,16777215,Japan Radio
274,153,00000000,16777215,C M. Communications
275,154,00000000,16777215,Sony (Japan)
276,155,00000000,16777215,Tama Denki Company
277,156,00000000,16777215,Mobira (Nokia-Kinex)
278,157,00000000,16777215,Ericsson GE Mobile Communications
279,158,00000000,16777215,AT&T Technologies
280,159,00000000,16777215,Kyocera Wireless
281,160,00000000,16777215,Hyundai
282,161,00000000,16777215,Satellite Technology Services
283,162,00000000,16777215,Technophone
284,163,00000000,16777215,Yupiteru Industries
285,164,00000000,16777215,Hughes Network Ssytems
286,165,00000000,16777215,TMC Company(Nokia)
287,166,00000000,16777215,Clarion Manufacturing of America
288,167,00000000,16777215,Mansoor Electronics
289,168,00000000,16777215,Motorola International
290,169,00000000,16777215,Sejin Electron (formerly Hanwha)
291,170,00000000,16777215,Philips Telecom Equipment
292,171,00000000,16777215,Philips Circuit Assemblies
293,172,00000000,16777215,Uniden of America
294,173,00000000,16777215,Uniden - Japan
295,174,00000000,16777215,Shintom West of America
296,175,00000000,16777215,Tottori Sanyo Electric
297,176,00000000,16777215,Samsung Communications
298,177,00000000,16777215,INFA Telecom Canada
299,178,00000000,16777215,Emptel Electronics Company
300,179,00000000,16777215,Kyocera Wireless
301,180,00000000,16777215,ASCNET
302,181,00000000,16777215,Yaesu USA
303,182,00000000,16777215,Tecom
304,183,00000000,16777215,Omni Telecommunications (formerly Valor Electronics)
305,184,00000000,16777215,Royal Information Electronics
306,185,00000000,16777215,Tele Digital Development
307,186,00000000,16777215,DNC
308,187,00000000,16777215,Haitai Electronics
309,188,00000000,16777215,Myday Technology
310,189,00000000,16777215,NEC America
311,190,00000000,16777215,Kyocera
312,191,00000000,16777215,Digital Security Controls
313,192,00000000,16777215,CTCELL Digital
314,193,00000000,16777215,Matshusita Communication Industrial of America
315,194,00000000,16777215,HS Electronics
316,195,00000000,16777215,Motorola
317,196,00000000,16777215,Pacific Communication Sciences
318,197,00000000,16777215,"Maxon Systems, (London)"
319,198,00000000,16777215,Hongsheng Electronics Company
320,199,00000000,16777215,M/A-COM
321,200,00000000,16777215,CHANNEL LINK
322,201,00000000,16777215,L.G. Information & Communications
323,202,00000000,16777215,Intel
324,203,00000000,16777215,Air Communications
325,204,00000000,16777215,Ericsson GE Mobile Communications
326,205,00000000,16777215,Goldtron RF PTE
327,206,00000000,16777215,Sierra Wireless
328,207,00000000,16777215,Mitsubishi International
329,208,00000000,16777215,JRC International
330,209,00000000,16777215,Sapura Holdings SDN. BHD.
331,210,00000000,16777215,Inex Technologies
332,211,00000000,16777215,Sony Electronics (U.S.A.)
333,212,00000000,16777215,Motorola
334,213,00000000,16777215,Motorola
335,214,00000000,16777215,Standard Communications
336,215,00000000,16777215,Carillon
337,216,00000000,16777215,Nippondenso America
338,217,00000000,16777215,International Business Machines
339,218,00000000,16777215,Nokia (Hong Kong)
340,219,00000000,16777215,Nokia (TMC Ltd)
341,220,00000000,16777215,TEMIC
342,221,00000000,16777215,Northern Telecom
343,222,00000000,16777215,Telrad Telecommunications
344,223,00000000,16777215,Motorola
345,224,00000000,16777215,Motorola
346,225,00000000,16777215,Telital s.r.l
